Age,Department,DistanceFromHome,Education,EducationField,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome
30,Research & Development,9,2,Medical,Male,83,1,Laboratory Technician,Single,1,No,3,0,10,5,3,10,0,1,8,2206
39,Sales,5,3,Technical Degree,Male,56,2,Sales Representative,Married,3,No,3,1,19,6,4,1,0,0,0,2086
24,Research & Development,1,3,Medical,Male,61,1,Research Scientist,Married,2,Yes,3,1,6,2,2,2,0,2,0,2293
43,Research & Development,2,2,Medical,Female,72,1,Research Scientist,Divorced,1,No,3,2,6,3,2,5,3,1,4,2645
50,Sales,3,2,Marketing,Male,86,1,Sales Representative,Married,1,Yes,3,0,3,2,3,3,2,0,2,2683
35,Sales,2,3,Marketing,Female,97,1,Sales Representative,Married,1,No,3,0,2,3,3,2,2,2,2,2014
36,Research & Development,5,4,Life Sciences,Female,82,1,Research Scientist,Married,9,Yes,3,1,6,3,4,1,1,0,0,3419
33,Sales,1,3,Life Sciences,Female,42,2,Sales Executive,Married,2,No,3,2,10,3,3,5,3,1,3,5376
35,Research & Development,4,2,Other,Male,75,1,Laboratory Technician,Divorced,1,No,3,1,1,3,3,1,0,0,0,1951
27,Research & Development,2,4,Life Sciences,Female,33,1,Laboratory Technician,Divorced,1,No,3,1,1,6,3,1,0,0,0,2341
26,Research & Development,25,3,Life Sciences,Male,48,1,Laboratory Technician,Single,1,No,3,0,1,2,2,1,0,0,1,2293
27,Sales,8,3,Life Sciences,Male,37,3,Sales Executive,Single,1,No,3,0,9,0,3,9,8,1,7,8726
30,Research & Development,1,2,Medical,Female,58,2,Laboratory Technician,Single,1,No,4,0,12,2,3,12,8,3,7,4011
41,Research & Development,12,3,Technical Degree,Female,49,5,Research Director,Married,1,No,3,0,23,0,3,22,15,15,8,19545
34,Sales,23,4,Marketing,Male,72,2,Sales Executive,Single,0,No,4,0,10,2,3,9,5,8,7,4568
37,Research & Development,19,2,Life Sciences,Male,73,1,Research Scientist,Married,4,No,4,0,8,1,3,1,0,0,0,3022
46,Sales,5,4,Marketing,Male,98,2,Sales Executive,Single,4,Yes,4,0,14,4,3,9,6,0,8,5772
35,Research & Development,8,1,Life Sciences,Male,36,1,Laboratory Technician,Married,1,No,3,0,1,2,3,1,0,0,1,2269
48,Research & Development,1,2,Life Sciences,Male,98,3,Laboratory Technician,Single,9,Yes,3,0,23,2,3,1,0,0,0,5381
28,Research & Development,5,4,Technical Degree,Male,50,1,Laboratory Technician,Single,1,Yes,3,0,2,3,2,2,2,2,2,3441
44,Sales,1,5,Marketing,Female,75,2,Sales Executive,Divorced,5,Yes,4,1,9,2,2,4,3,1,3,5454
35,Research & Development,11,2,Medical,Male,79,3,Healthcare Representative,Married,2,Yes,3,1,10,3,3,4,0,2,3,9884
26,Sales,23,3,Marketing,Female,47,2,Sales Executive,Married,7,Yes,3,1,5,2,2,2,2,0,0,4157
33,Research & Development,1,2,Life Sciences,Female,98,3,Research Director,Single,1,Yes,3,0,15,1,3,15,14,8,12,13458
35,Sales,18,5,Life Sciences,Male,71,3,Sales Executive,Married,1,No,4,1,9,3,2,9,8,1,8,9069
35,Research & Development,23,4,Medical,Female,30,1,Laboratory Technician,Married,3,Yes,3,1,4,3,3,2,2,2,2,4014
31,Research & Development,7,4,Life Sciences,Male,48,2,Laboratory Technician,Divorced,3,No,4,1,10,3,2,7,7,1,7,5915
37,Research & Development,1,4,Life Sciences,Male,51,2,Manufacturing Director,Divorced,1,No,3,1,7,2,4,7,5,0,7,5993
32,Research & Development,1,3,Medical,Male,33,2,Manufacturing Director,Married,1,Yes,4,1,9,3,3,9,8,7,8,6162
38,Research & Development,29,5,Life Sciences,Female,50,2,Laboratory Technician,Single,1,No,3,0,10,2,3,10,3,9,9,2406
50,Research & Development,7,2,Medical,Female,43,5,Research Director,Divorced,5,Yes,3,1,29,2,2,27,3,13,8,18740
59,Sales,25,3,Life Sciences,Female,99,3,Sales Executive,Single,7,No,3,0,28,3,2,21,16,7,9,7637
36,Research & Development,8,3,Technical Degree,Female,59,3,Healthcare Representative,Divorced,1,No,3,3,17,2,3,17,14,12,8,10096
55,Research & Development,8,3,Medical,Female,33,4,Manager,Divorced,2,Yes,3,3,21,2,3,5,0,0,2,14756
36,Research & Development,11,3,Life Sciences,Male,95,2,Manufacturing Director,Single,1,No,3,0,6,3,3,6,5,0,3,6499
45,Research & Development,7,3,Life Sciences,Male,59,3,Research Scientist,Divorced,2,No,3,1,25,2,3,1,0,0,0,9724
35,Research & Development,1,3,Medical,Male,79,1,Research Scientist,Married,4,No,3,1,5,2,2,3,2,1,2,2194
36,Research & Development,9,3,Medical,Male,79,1,Research Scientist,Married,0,Yes,3,1,2,0,2,1,0,0,0,3388
59,Sales,1,1,Life Sciences,Female,57,2,Sales Executive,Single,7,No,3,0,20,2,2,4,3,1,3,5473
29,Research & Development,2,3,Life Sciences,Male,76,1,Research Scientist,Married,0,No,4,1,6,3,3,5,4,0,4,2703
31,Research & Development,1,4,Medical,Male,87,1,Research Scientist,Single,1,No,3,0,1,4,3,1,1,1,0,2501
32,Research & Development,1,3,Life Sciences,Male,66,2,Research Scientist,Married,1,No,3,2,10,3,3,10,4,0,9,6220
36,Research & Development,6,3,Life Sciences,Female,55,1,Laboratory Technician,Married,3,No,3,0,5,3,3,1,0,0,0,3038
31,Research & Development,8,4,Life Sciences,Female,61,2,Manufacturing Director,Single,1,No,4,0,11,2,3,11,7,1,8,4424
35,Sales,1,4,Marketing,Male,32,2,Sales Executive,Single,0,No,3,0,16,2,3,15,13,2,8,4312
45,Research & Development,6,4,Other,Male,52,3,Research Director,Married,4,Yes,3,0,17,3,4,0,0,0,0,13245
37,Research & Development,7,4,Medical,Male,30,3,Research Director,Single,4,No,3,0,16,3,4,5,2,0,2,13664
46,Human Resources,5,2,Medical,Male,80,2,Human Resources,Divorced,8,Yes,4,1,16,2,3,4,2,0,2,5021
30,Research & Development,1,1,Life Sciences,Male,55,2,Laboratory Technician,Married,1,Yes,3,2,10,1,2,10,8,3,0,5126
35,Research & Development,1,3,Medical,Male,30,1,Research Scientist,Single,1,No,3,0,6,3,3,6,4,0,4,2859
55,Sales,1,2,Life Sciences,Male,70,3,Sales Executive,Married,3,No,3,1,24,4,3,1,0,1,0,10239
38,Research & Development,6,3,Medical,Female,79,2,Research Scientist,Divorced,7,Yes,3,3,17,3,3,13,11,1,9,5329
34,Research & Development,1,2,Medical,Male,94,2,Manufacturing Director,Married,1,No,3,0,5,2,3,5,2,1,3,4325
56,Research & Development,7,3,Life Sciences,Male,49,3,Manufacturing Director,Single,4,No,3,0,37,3,2,6,4,0,2,7260
23,Sales,2,1,Technical Degree,Male,62,1,Sales Representative,Divorced,3,No,3,1,3,3,3,0,0,0,0,2322
51,Research & Development,9,4,Life Sciences,Male,96,1,Laboratory Technician,Married,3,No,4,2,10,4,3,4,2,0,3,2075
30,Research & Development,2,3,Life Sciences,Male,99,2,Healthcare Representative,Married,1,No,3,3,11,3,3,11,10,10,8,4152
46,Sales,9,2,Medical,Male,64,3,Sales Executive,Single,1,No,3,0,9,3,3,9,8,4,7,9619
40,Research & Development,1,4,Life Sciences,Male,78,4,Healthcare Representative,Married,1,No,4,1,22,3,2,22,3,11,11,13503
51,Sales,21,4,Marketing,Male,71,2,Sales Executive,Single,0,Yes,4,0,11,2,1,10,7,1,0,5441
30,Sales,4,2,Medical,Female,63,2,Sales Executive,Divorced,1,Yes,3,3,11,4,2,11,8,2,7,5209
46,Research & Development,1,3,Medical,Male,40,3,Healthcare Representative,Married,2,Yes,3,1,21,5,2,10,9,9,5,10673
32,Sales,6,4,Medical,Male,87,2,Sales Executive,Single,1,No,3,0,12,0,3,11,8,5,7,5010
54,Research & Development,2,4,Technical Degree,Female,60,3,Research Director,Married,9,No,3,1,16,5,1,4,3,0,3,13549
24,Sales,3,2,Other,Female,33,2,Sales Executive,Married,0,No,4,1,4,2,2,3,2,0,2,4999
28,Sales,4,3,Medical,Male,43,2,Sales Executive,Married,1,No,3,0,5,3,4,5,4,0,4,4221
58,Sales,10,4,Medical,Male,37,4,Sales Executive,Single,0,No,3,0,38,1,2,37,10,1,8,13872
44,Research & Development,23,3,Medical,Male,67,2,Laboratory Technician,Married,4,No,3,1,17,3,4,3,2,1,2,2042
37,Human Resources,6,4,Human Resources,Male,63,1,Human Resources,Divorced,4,Yes,4,0,7,3,3,3,2,0,2,2073
32,Research & Development,1,1,Life Sciences,Male,71,1,Research Scientist,Single,1,No,3,0,1,2,3,1,0,0,0,2956
20,Research & Development,6,3,Life Sciences,Female,66,1,Laboratory Technician,Single,1,Yes,3,0,1,5,3,1,0,1,0,2926
34,Research & Development,6,4,Other,Female,41,2,Research Scientist,Single,1,No,3,0,16,3,3,16,13,2,10,4809
37,Research & Development,2,2,Life Sciences,Male,100,2,Healthcare Representative,Divorced,5,No,3,1,17,2,4,1,0,0,0,5163
59,Human Resources,2,4,Human Resources,Female,32,5,Manager,Married,9,No,4,1,30,3,3,3,2,2,2,18844
50,Research & Development,1,3,Life Sciences,Female,73,5,Research Director,Married,3,Yes,3,0,28,1,2,8,3,0,7,18172
25,Sales,5,3,Marketing,Male,46,2,Sales Executive,Single,1,Yes,3,0,6,1,3,6,4,0,3,5744
25,Research & Development,7,1,Medical,Male,64,1,Research Scientist,Married,1,No,3,2,2,2,3,2,2,2,1,2889
22,Research & Development,15,3,Medical,Female,59,1,Laboratory Technician,Single,1,No,3,0,1,5,3,0,0,0,0,2871
51,Research & Development,1,4,Medical,Female,30,3,Healthcare Representative,Single,3,No,4,0,23,1,2,13,12,12,8,7484
34,Research & Development,7,3,Life Sciences,Male,66,2,Laboratory Technician,Single,1,Yes,4,0,9,3,3,9,7,0,6,6074
54,Human Resources,26,3,Human Resources,Female,30,4,Manager,Single,2,Yes,3,0,23,3,3,5,3,4,4,17328
24,Research & Development,18,1,Life Sciences,Male,52,1,Laboratory Technician,Married,0,No,3,1,6,2,3,5,3,1,2,2774
34,Research & Development,6,4,Life Sciences,Female,45,2,Research Scientist,Divorced,6,No,3,1,12,3,3,1,0,0,0,4505
37,Sales,3,3,Life Sciences,Male,87,3,Sales Executive,Single,2,No,3,0,12,3,3,5,3,1,3,7428
34,Research & Development,5,3,Medical,Female,45,3,Manager,Single,2,No,3,0,14,6,3,11,10,5,8,11631
36,Sales,11,2,Technical Degree,Female,92,3,Sales Executive,Married,0,No,3,1,10,6,3,9,7,2,8,9738
36,Research & Development,3,2,Life Sciences,Female,39,1,Laboratory Technician,Divorced,5,No,4,1,7,2,3,1,0,0,0,2835
43,Sales,26,2,Life Sciences,Male,92,4,Manager,Married,1,Yes,3,2,25,3,4,25,12,4,12,16959
30,Research & Development,23,3,Life Sciences,Male,96,1,Research Scientist,Divorced,1,No,4,3,10,2,2,10,7,0,9,2613
33,Sales,22,2,Marketing,Male,95,2,Sales Executive,Married,0,No,3,1,8,2,4,7,7,0,7,6146
56,Research & Development,14,4,Life Sciences,Female,72,1,Research Scientist,Married,9,Yes,3,3,7,2,3,5,4,4,3,4963
51,Research & Development,6,3,Life Sciences,Male,51,5,Research Director,Single,7,No,3,0,23,5,3,20,18,15,15,19537
31,Sales,6,4,Life Sciences,Male,76,2,Sales Executive,Married,4,Yes,3,0,12,3,2,7,7,7,7,6172
26,Research & Development,6,3,Other,Female,46,1,Research Scientist,Married,1,No,3,0,5,3,2,5,4,4,3,2368
58,Research & Development,23,4,Medical,Female,94,3,Healthcare Representative,Married,1,No,3,1,40,3,2,40,10,15,6,10312
19,Sales,22,1,Marketing,Male,50,1,Sales Representative,Single,1,Yes,3,0,0,2,2,0,0,0,0,1675
22,Research & Development,2,1,Technical Degree,Male,100,1,Laboratory Technician,Married,0,No,3,1,3,2,3,2,1,2,1,2523
49,Research & Development,20,4,Medical,Female,96,2,Manufacturing Director,Married,1,No,3,0,16,2,2,15,11,5,11,6567
43,Research & Development,28,3,Medical,Female,72,1,Research Scientist,Single,4,No,3,0,18,2,3,3,2,1,2,4739
50,Sales,12,3,Marketing,Female,77,3,Sales Executive,Single,4,No,3,0,16,3,3,2,2,2,1,9208
31,Sales,20,3,Life Sciences,Female,71,2,Sales Executive,Married,3,Yes,3,1,4,2,3,2,2,2,2,4559
41,Sales,9,1,Life Sciences,Male,96,3,Sales Executive,Divorced,3,Yes,3,1,12,2,3,9,7,0,7,8189
26,Human Resources,25,1,Life Sciences,Female,61,1,Human Resources,Married,1,No,4,1,8,3,3,8,7,5,7,2942
36,Research & Development,6,2,Medical,Male,84,2,Manufacturing Director,Divorced,6,No,4,2,7,0,3,3,2,0,1,4941
51,Research & Development,8,4,Life Sciences,Male,53,3,Manufacturing Director,Single,2,No,3,0,18,2,3,4,2,0,3,10650
39,Sales,4,4,Life Sciences,Female,47,2,Sales Executive,Married,4,No,3,1,17,1,4,15,11,5,9,5902
25,Sales,28,3,Life Sciences,Male,41,2,Sales Executive,Married,2,No,3,0,6,3,3,2,2,2,2,8639
30,Human Resources,9,3,Human Resources,Male,48,2,Human Resources,Married,0,Yes,3,0,12,2,1,11,9,4,7,6347
32,Research & Development,9,3,Medical,Female,41,1,Laboratory Technician,Single,7,No,4,0,10,2,4,5,4,0,4,4200
45,Research & Development,29,3,Medical,Male,83,1,Research Scientist,Single,5,No,3,0,9,2,2,6,5,0,3,3452
38,Research & Development,3,5,Technical Degree,Female,32,2,Research Scientist,Single,3,Yes,4,0,19,2,3,3,2,2,2,4317
30,Research & Development,18,3,Life Sciences,Female,75,1,Research Scientist,Single,1,No,3,0,5,4,2,5,4,0,4,2632
32,Sales,9,2,Medical,Male,35,2,Sales Executive,Divorced,0,No,3,3,9,2,4,8,7,0,7,4668
30,Research & Development,5,3,Technical Degree,Female,84,1,Research Scientist,Divorced,5,No,3,1,8,3,3,3,2,2,2,3204
30,Research & Development,2,1,Medical,Male,35,1,Laboratory Technician,Single,0,No,3,0,6,3,3,5,3,1,2,2720
41,Research & Development,10,3,Life Sciences,Male,91,4,Manager,Divorced,4,No,3,1,21,2,2,7,6,7,7,17181
41,Research & Development,9,4,Life Sciences,Male,94,1,Laboratory Technician,Married,2,No,4,1,7,2,3,5,0,1,4,2238
19,Research & Development,3,1,Medical,Female,79,1,Laboratory Technician,Single,1,No,3,0,1,3,3,1,0,0,0,1483
40,Research & Development,26,3,Medical,Female,54,2,Research Scientist,Divorced,1,No,3,1,20,2,3,20,7,2,13,5605
35,Sales,1,5,Marketing,Male,94,3,Sales Executive,Married,1,No,3,2,10,3,3,10,8,0,6,7295
53,Sales,6,2,Marketing,Male,34,2,Sales Representative,Married,2,Yes,4,1,13,3,1,7,7,4,5,2306
45,Research & Development,9,3,Life Sciences,Male,60,2,Laboratory Technician,Divorced,8,No,3,1,20,2,1,17,9,0,15,2348
32,Sales,8,3,Marketing,Female,43,3,Sales Executive,Single,1,No,3,0,9,2,3,9,8,3,7,8998
29,Research & Development,1,1,Technical Degree,Male,41,2,Manufacturing Director,Married,1,No,3,1,10,1,3,10,7,0,9,4319
51,Research & Development,7,4,Medical,Male,34,2,Manufacturing Director,Married,2,No,3,0,10,2,3,1,0,0,0,6132
58,Research & Development,9,3,Medical,Female,75,1,Research Scientist,Married,4,Yes,4,1,9,3,2,1,0,0,0,3346
40,Sales,4,4,Marketing,Male,67,3,Sales Executive,Married,7,No,3,1,15,2,2,12,11,2,11,10855
34,Sales,2,4,Marketing,Female,75,1,Sales Representative,Married,6,No,3,1,6,3,3,4,3,1,2,2231
22,Research & Development,19,1,Medical,Male,80,1,Research Scientist,Married,1,No,4,2,2,6,3,2,2,2,2,2323
27,Research & Development,9,3,Medical,Male,57,1,Research Scientist,Divorced,6,No,3,1,6,1,1,2,2,2,2,2024
28,Research & Development,21,3,Medical,Male,42,1,Research Scientist,Married,1,No,3,1,5,2,1,5,2,0,2,2713
57,Research & Development,24,2,Life Sciences,Male,83,3,Healthcare Representative,Divorced,3,Yes,3,1,12,2,1,5,3,1,4,9439
27,Research & Development,3,3,Medical,Male,79,1,Research Scientist,Divorced,1,Yes,3,1,1,2,2,1,1,0,1,2566
50,Research & Development,11,3,Life Sciences,Female,53,5,Manager,Single,3,No,3,0,21,5,3,5,4,4,4,19926
41,Research & Development,14,3,Life Sciences,Male,56,1,Research Scientist,Divorced,4,No,3,1,13,2,3,9,8,1,8,2451
30,Sales,5,3,Life Sciences,Female,41,3,Sales Executive,Married,2,No,3,1,12,2,3,10,9,7,4,9419
38,Sales,1,4,Life Sciences,Female,59,2,Sales Executive,Single,4,No,4,0,12,2,4,8,3,0,7,8686
32,Research & Development,6,5,Life Sciences,Male,43,1,Research Scientist,Single,3,No,4,0,8,2,3,5,4,1,4,3038
27,Research & Development,17,3,Technical Degree,Male,51,1,Research Scientist,Married,0,Yes,3,1,6,3,2,5,2,1,1,3058
19,Sales,1,1,Technical Degree,Female,100,1,Sales Representative,Single,0,No,4,0,1,5,4,0,0,0,0,2325
36,Research & Development,3,2,Medical,Male,30,1,Laboratory Technician,Single,4,No,3,0,13,3,2,8,7,7,2,2088
30,Research & Development,9,3,Medical,Male,66,2,Laboratory Technician,Divorced,1,No,3,2,12,4,3,12,9,6,10,3072
45,Sales,4,2,Life Sciences,Female,30,2,Sales Executive,Divorced,4,Yes,3,1,9,3,4,5,4,0,3,5006
56,Research & Development,8,3,Life Sciences,Female,67,1,Research Scientist,Divorced,4,Yes,3,1,19,3,3,2,2,2,2,4257
33,Research & Development,2,3,Life Sciences,Male,90,1,Research Scientist,Single,0,No,3,0,4,2,4,3,1,0,2,2500
19,Research & Development,2,3,Life Sciences,Male,47,1,Laboratory Technician,Single,1,No,4,0,1,3,2,1,0,1,0,1102
46,Sales,1,2,Marketing,Female,92,3,Sales Executive,Divorced,1,No,4,3,24,2,3,24,13,15,7,10453
38,Research & Development,9,2,Life Sciences,Female,75,1,Laboratory Technician,Single,1,No,3,0,2,3,3,2,2,2,1,2288
31,Research & Development,12,1,Medical,Female,95,1,Research Scientist,Married,8,Yes,4,1,7,0,3,4,2,0,2,3929
34,Research & Development,27,2,Medical,Female,95,1,Research Scientist,Single,2,No,3,0,9,3,3,3,2,1,2,2311
41,Sales,20,2,Marketing,Female,70,1,Sales Representative,Single,1,Yes,4,0,4,5,2,4,3,0,2,3140
50,Research & Development,1,3,Medical,Male,86,1,Laboratory Technician,Married,2,No,3,1,5,2,2,3,2,0,2,3690
53,Research & Development,13,2,Medical,Female,57,2,Manufacturing Director,Divorced,1,No,3,2,5,3,3,4,2,1,3,4450
33,Research & Development,14,3,Medical,Female,72,1,Research Scientist,Married,1,No,3,1,8,5,3,8,7,1,6,2756
40,Research & Development,4,1,Medical,Female,46,5,Manager,Married,1,No,3,1,21,2,3,20,8,9,9,19033
55,Research & Development,14,4,Medical,Male,61,5,Research Director,Single,8,No,3,0,36,3,3,24,15,2,15,18722
34,Research & Development,2,1,Life Sciences,Male,45,2,Manufacturing Director,Married,1,No,3,0,10,2,2,10,9,1,9,9547
51,Research & Development,3,3,Medical,Female,98,4,Healthcare Representative,Single,3,No,3,0,21,6,3,7,7,1,0,13734
52,Research & Development,1,4,Life Sciences,Male,65,5,Manager,Married,0,No,3,1,34,5,3,33,18,11,9,19999
27,Research & Development,9,3,Medical,Female,99,1,Research Scientist,Single,1,No,3,0,7,2,2,7,7,0,3,2279
35,Research & Development,23,2,Life Sciences,Male,50,2,Manufacturing Director,Married,3,Yes,3,0,8,1,3,1,0,0,1,5916
43,Research & Development,7,3,Medical,Male,37,1,Research Scientist,Divorced,4,No,3,3,7,3,4,5,4,2,2,2089
45,Research & Development,2,2,Medical,Male,65,4,Manager,Married,9,No,4,1,22,1,3,20,8,11,8,16792
37,Research & Development,21,3,Life Sciences,Male,65,1,Research Scientist,Married,1,Yes,3,1,8,3,2,8,7,1,7,3564
35,Research & Development,2,3,Medical,Female,37,2,Laboratory Technician,Single,5,No,3,0,10,5,3,6,2,1,2,4425
42,Research & Development,21,2,Medical,Female,36,2,Manufacturing Director,Divorced,2,No,3,1,11,5,3,5,3,0,2,5265
38,Research & Development,2,4,Life Sciences,Male,88,2,Manufacturing Director,Married,9,No,3,0,14,3,3,1,0,0,0,6553
38,Research & Development,29,3,Technical Degree,Male,54,2,Manufacturing Director,Married,3,No,3,1,9,3,1,7,7,1,7,6261
27,Research & Development,1,1,Technical Degree,Male,60,2,Manufacturing Director,Married,5,No,3,1,6,1,3,2,2,2,0,4298
49,Research & Development,18,4,Life Sciences,Male,92,2,Manufacturing Director,Divorced,1,Yes,3,2,7,0,3,7,7,1,7,6804
34,Research & Development,10,4,Medical,Male,43,1,Research Scientist,Divorced,1,Yes,3,1,5,4,4,5,3,2,0,3815
40,Research & Development,19,2,Medical,Male,99,2,Laboratory Technician,Married,8,Yes,3,1,15,2,4,7,2,3,7,2741
38,Research & Development,29,1,Medical,Male,70,2,Healthcare Representative,Married,7,Yes,3,0,17,2,3,1,0,0,0,6673
29,Sales,27,3,Marketing,Female,35,3,Sales Executive,Married,1,No,4,3,10,3,2,10,4,1,9,7639
22,Research & Development,5,3,Life Sciences,Male,60,1,Research Scientist,Divorced,1,Yes,3,1,4,2,2,4,2,2,2,2328
36,Research & Development,18,1,Medical,Female,73,1,Laboratory Technician,Single,1,No,3,0,8,2,3,8,1,1,7,2153
40,Research & Development,9,5,Life Sciences,Male,63,2,Healthcare Representative,Married,9,No,3,1,5,5,1,3,2,0,2,4876
46,Research & Development,1,4,Medical,Male,97,3,Healthcare Representative,Divorced,7,No,3,1,17,3,3,4,2,0,3,9396
32,Sales,4,4,Medical,Male,32,3,Sales Executive,Married,1,No,3,0,14,2,2,14,8,9,8,10400
30,Research & Development,1,1,Life Sciences,Male,88,3,Manufacturing Director,Single,1,No,4,0,12,2,3,11,8,5,8,8474
27,Sales,20,3,Life Sciences,Female,90,2,Sales Executive,Single,1,No,3,0,7,2,3,7,7,0,7,9981
51,Research & Development,8,4,Life Sciences,Male,81,3,Research Director,Married,5,No,3,2,16,5,1,10,9,4,7,12490
30,Research & Development,3,3,Technical Degree,Female,88,1,Research Scientist,Single,5,Yes,3,0,8,5,3,5,2,0,4,2657
41,Sales,6,3,Life Sciences,Female,75,3,Manager,Single,3,Yes,3,0,16,3,3,1,0,0,0,13591
30,Sales,26,4,Marketing,Female,52,2,Sales Executive,Single,5,No,3,0,9,5,2,6,3,0,1,6696
29,Research & Development,1,3,Technical Degree,Male,85,1,Research Scientist,Single,0,No,3,0,7,1,2,6,2,1,5,2058
45,Sales,6,3,Medical,Female,57,3,Sales Executive,Single,6,No,3,0,23,2,3,19,7,12,8,8865
54,Sales,3,3,Marketing,Female,52,2,Sales Executive,Married,2,No,3,1,16,4,3,6,2,0,5,5940
36,Research & Development,5,2,Life Sciences,Male,62,2,Laboratory Technician,Single,8,No,3,0,16,3,4,13,11,3,7,5914
33,Research & Development,4,4,Medical,Female,47,1,Research Scientist,Married,6,No,4,0,7,3,3,3,2,1,1,2622
37,Research & Development,11,3,Other,Male,47,3,Research Director,Divorced,1,Yes,3,3,10,1,3,10,8,0,7,12185
38,Sales,3,3,Life Sciences,Male,76,3,Sales Executive,Divorced,0,No,3,2,17,6,2,16,10,5,13,10609
31,Research & Development,1,4,Medical,Male,90,2,Manufacturing Director,Married,0,No,3,1,6,2,3,5,4,1,4,4345
